 ,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#, ,#,#,#,#,#, ,
#,.,.,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,.,.,#,.,.,.,.,.,#,
#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,#,#,.,#,.,#,.,#,.,#,#,#,#,#,.,#,#,#,.,#,#,#,.,#,.,#,
#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,#,
#,.,#,.,#,.,#,#,#,.,#,#,#,#,#,.,#,.,#,.,#,#,#,#,#,.,#,#,#,#,#,.,#,#,#,.,#,.,#,.,#,
#,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,#,.,#,
#,.,#,.,#,#,#,#,#,#,#,.,#,.,#,#,#,.,#,.,#,.,#,.,#,#,#,#,#,.,#,.,#,.,#,.,#,.,#,.,#,
#,.,#,.,#,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,.,#,.,#,.,#,.,#,
#,.,#,.,#,.,#,.,#,#,#,.,#,#,#,.,#,#,#,#,#,#,#,#,#,#,#,.,#,#,#,x,#,#,#,.,#,.,#,.,#,
#,.,#,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,#,@,#,.,#,
 ,#,#,.,#,.,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,.,#,#,#,#,#,.,#,
#,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,.,.,.,.,.,.,.,.,#,.,#,
#,.,#,#,#,.,#,.,#,#,#,.,#,.,#,.,#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,#,#,#,#,#,#,.,#,.,#,
#,.,.,.,#,.,#,.,.,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,.,.,.,.,.,#,.,.,.,#,.,.,.,#,
 ,#,#,.,#,.,#,#,#,.,#,#,#,#,#,.,#,#,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,#,#,.,#,#,#,.,#,
#,.,#,.,#,.,.,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,#,.,.,.,#,.,.,.,#,.,.,.,#,.,#,
#,.,#,.,#,#,#,#,#,#,#,.,#,.,#,#,#,.,#,.,#,.,#,#,#,.,#,#,#,.,#,#,#,.,#,.,#,#,#,.,#,
#,.,#,.,.,.,.,.,.,.,#,.,#,.,.,.,.,.,#,.,#,.,.,.,#,.,#,.,#,.,.,.,#,.,#,.,.,.,#,.,#,
#,.,#,#,#,#,#,#,#,.,#,.,#,#,#,#,#,#,#,.,#,.,#,.,#,.,#,.,#,#,#,.,#,.,#,#,#,.,#,.,#,
