-3|0
-3|1
-7|1
-7|0
-5|0
-5|-4
-2|-4
-2|-1
0|-1
0|-4
5|-4
5|-5
2|-5
2|-9
3|-9
3|-7
5|-7
5|-8
9|-8
9|-4
11|-4
11|1
14|1
14|-1
13|-1
13|-2
15|-2
15|-4
13|-4
13|-5
14|-5
14|-7
13|-7
13|-10
18|-10
18|-14
21|-14
21|-17
18|-17
18|-22
208|-22
208|-18
212|-18
212|-69
216|-69
216|-74
211|-74
211|-72
210|-72
210|-75
209|-75
209|-71
206|-71
206|-70
209|-70
209|-65
205|-65
205|-63
210|-63
210|-65
211|-65
211|-60
210|-60
210|-61
132|-61
132|-64
130|-64
130|-67
125|-67
125|-69
123|-69
123|-65
122|-65
122|-69
121|-69
121|116
124|116
124|120
123|120
123|119
126|119
126|115
130|115
130|116
135|116
135|121
134|121
134|126
133|126
133|128
128|128
128|126
124|126
124|129
122|129
122|132
123|132
123|135
118|135
118|131
115|131
115|129
119|129
119|134
115|134
115|135
114|135
114|140
112|140
112|144
114|144
114|141
115|141
115|142
111|142
111|139
107|139
107|136
112|136
112|134
117|134
117|135
116|135
116|137
119|137
119|142
116|142
116|140
117|140
117|144
121|144
121|140
123|140
123|137
122|137
122|135
121|135
121|133
123|133
123|130
120|130
120|129
116|129
116|124
119|124
119|120
115|120
115|121
113|121
113|116
116|116
116|115
112|115
112|113
107|113
107|117
109|117
109|122
106|122
106|126
107|126
107|127
112|127
112|130
113|130
113|125
115|125
115|124
120|124
120|126
122|126
122|128
119|128
119|131
122|131
122|130
